,floor_built,subdistrict,bathrooms,floor,district,bedrooms,air_conditioning,fitted_wardrobes,garage_included,private_owner,balcony
61,29,1377.8023914145683,1,0,1924.735143390946,1,1,0,0,0,0
7330,35,1605.973354087283,1,0,1848.1300723995475,1,1,0,0,0,0
4716,94,1061.4122987034937,1,5,943.1819623208775,4,0,0,0,0,0
556,84,1397.5029862787426,1,3,1924.735143390946,2,0,1,0,0,0
5249,98,2821.352634017893,2,2,2432.499556198407,2,1,1,0,0,0
5423,100,2633.666621779537,2,6,2432.499556198407,3,1,1,0,0,0
594,100,1397.5029862787426,2,3,1924.735143390946,3,1,1,0,0,0
2044,197,2694.678683136039,3,3,2161.0284695868604,5,1,1,1,0,0
2993,75,1933.6920478837662,1,13,1557.649671927716,3,0,1,0,1,0
671,45,1377.8023914145683,1,2,1924.735143390946,1,0,0,0,0,1
2208,102,1603.6327285909183,2,4,2161.0284695868604,3,0,1,0,0,0
5296,106,2813.642519715502,2,1,2432.499556198407,2,1,1,0,0,0
763,90,1477.2405075770378,2,2,1640.7201765841617,2,1,1,0,1,0
4899,69,995.0274280322236,1,0,889.030233659284,3,1,1,0,0,0
4819,50,875.5219424257789,1,2,889.030233659284,2,0,1,0,0,0
6216,60,1389.833228409667,1,2,1629.642194242578,1,1,1,1,0,0
339,88,2041.757763015157,1,5,1924.735143390946,3,0,1,0,0,0
2377,93,1307.0803150478166,2,2,1301.7464633309805,3,1,0,0,0,0
303,180,2041.757763015157,3,6,1924.735143390946,3,1,1,1,0,0
7358,142,1643.224517225123,2,2,1848.1300723995475,2,1,1,1,0,1
4016,30,1093.6745920188625,1,0,1233.6969424440695,0,0,1,0,0,0
