,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7531,Flat,1200,2.0,False,71,,4th,,west,1,1,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Sol,28013.0,27 October,Calle de la Ternera,40.4193847,-3.7071332
7532,Flat,3000,2.0,False,185,,5th,1845.0,,2,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Palacio,28013.0,18 October,3,40.4192379,-3.7100155
7533,Duplex,1800,,False,110,105.0,5th,1910.0,,2,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Huertas-Cortes,28012.0,2 November,,,
7534,Flat,4900,,False,492,,1st,1970.0,,5,6,True,True,True,True,True,False,True,True,True,False,False,False,Centro,Palacio,nan,3 November,Senado de España,40.4211638,-3.7117889
7535,Flat,950,,False,68,50.0,1st,1989.0,east,1,1,True,True,False,True,True,True,False,False,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,2 September,Calle del Amparo,40.4057632,-3.7000701
7536,Duplex,1500,1.0,False,115,,3rd,2012.0,south,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Malasaña-Universidad,nan,3 November,Calle de San Vicente Ferrer,40.4257608,-3.7038591
7537,Flat,1800,1.0,True,60,,3rd,,,2,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Sol,28012.0,21 October,Bodegas Melibea,40.415488,-3.7022561
7538,Studio,1240,2.0,True,60,50.0,ground,,,0,1,True,True,False,True,True,False,False,True,False,False,False,False,Centro,Chueca-Justicia,28004.0,6 November,21,40.4227301,-3.6964386
7539,Flat,2025,,False,60,,4th,2022.0,,1,1,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 November,Calle de Atocha,40.4120613,-3.6986154
7540,Penthouse,1090,1.0,True,80,72.0,4th,,,2,1,True,True,False,True,True,True,False,False,False,False,False,False,Centro,Malasaña-Universidad,28004.0,7 November,Calle de la Palma,40.426757,-3.7082559
